filename,iteration,15.0bar uptake,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g
FAVGIV_clean,0.0,1.2359494799,4.89361,4.27611,4.89361,1.63035,784.518,481.195,0.0,0.0,0.4718,0.289385,0.0
FEQSIF_clean,0.0,4.367823391,9.236360000000001,5.609780000000001,9.22645,0.773392,2340.66,3026.49,0.0,0.0,0.7012,0.9066559999999999,0.0
FIJZEE_clean,0.0,2.854645891,7.377260000000001,6.47542,7.377260000000001,1.82096,874.8,480.405,0.0,0.0,0.4718,0.25909299999999996,0.0
FORQEJ_clean,0.0,2.0219599014,9.63063,4.26523,9.63063,1.03635,2192.11,2115.22,0.0,0.0,0.6976,0.67313,0.0
FUMJAA_clean,0.0,3.9255440527,6.69521,5.2041,6.686160000000001,1.12957,2214.41,1960.41,0.0,0.0,0.6298,0.557558,0.0
ICISAP_clean,0.0,4.1162808349,8.79152,6.71431,8.77922,0.851648,2192.52,2574.44,0.0,0.0,0.6926,0.813247,0.0
IJEVEA_clean,0.0,2.0374429384,6.16235,3.6544199999999996,6.15987,1.71122,898.2539999999999,524.922,0.0,0.0,0.4748,0.277464,0.0
ja907023c_si_001_clean,0.0,4.3895578547,9.61179,5.4202,9.500680000000001,0.6666979999999999,1801.22,2701.7,393.55,590.2959999999999,0.69,1.03495,0.0
JOGSAA_clean,0.0,3.9840305979,12.97631,9.4474,12.86758,0.42077600000000004,1989.54,4728.27,0.0,0.0,0.8226,1.9549599999999998,0.0
JOQZUM_clean,0.0,1.0718452117,5.68246,5.15937,5.6766,1.419,1065.4,750.809,34.7517,24.4903,0.522,0.367865,0.0
KEDJAG22_clean,0.0,2.6004559546,5.70452,4.56197,5.70452,1.0469700000000002,3123.81,2983.66,0.0,0.0,0.6974,0.666112,0.0
KIGCEK_clean,0.0,2.0387057286,10.39364,10.27787,10.39364,0.9907950000000001,1293.94,1305.96,0.0,0.0,0.603,0.6086020000000001,0.0
KIYTOD_clean,0.0,3.8003509091,14.38752,6.752089999999999,13.57035,0.794229,1901.95,2394.72,0.0,0.0,0.7144,0.899489,0.0
KOSKEK_clean,0.0,2.6948604853,11.20845,9.89743,11.20845,1.17889,1581.37,1341.4,0.0,0.0,0.6412,0.543901,0.0
KOYRAT_charged,0.0,3.1050749987,5.60484,4.74964,5.60484,1.07243,1405.15,1310.25,0.0,0.0,0.5576,0.519939,0.0
LECFAC_clean,0.0,4.0010718504,9.81867,4.43769,9.81443,0.838672,2179.96,2599.3,0.0,0.0,0.7164,0.8542069999999999,0.0
LUFNAC02_clean,0.0,4.3216205554,7.66591,5.85542,7.6546199999999995,1.02962,1488.42,1445.6,0.0,0.0,0.5648,0.548553,0.0
LUFNAC04_clean,0.0,4.3291975839,7.6755,5.87796,7.669110000000001,1.02659,1461.4,1423.54,0.0,0.0,0.5658,0.551143,0.0
LUMYID_clean,0.0,3.3425669773,5.94433,4.56717,5.90149,1.30513,1995.48,1528.95,0.0,0.0,0.6194,0.47458900000000004,0.0
MOXPEV_charged,0.0,2.4196020512,5.7432,3.8024199999999997,5.74317,1.12837,1123.76,995.91,0.100812,0.08934299999999999,0.5302,0.46988100000000005,0.0
NOPJOT_clean,0.0,4.0826003241,6.1592,4.6993599999999995,6.14418,1.00061,2117.03,2115.74,0.0,0.0,0.6142,0.613825,0.0
OQUFAJ02_clean,0.0,2.9933382765,10.4008,8.96418,10.4008,1.23779,2032.69,1642.19,0.0386359,0.031213499999999998,0.6356,0.513494,0.000323156
ORIVOC_clean,0.0,2.8680883573,11.63735,10.86073,11.63667,1.22977,1588.45,1291.67,0.0,0.0,0.669,0.5440050000000001,0.0
PIWSEV_clean,0.0,3.6558979881,8.52736,7.61097,8.52736,0.8468180000000001,2044.34,2414.14,0.0,0.0,0.6702,0.7914329999999999,0.0
QOSJIT_clean,0.0,2.8732247438,8.05472,3.98,7.82448,1.1351799999999999,1829.79,1611.9,0.0,0.0,0.6248,0.550399,0.0
REDROI_clean,0.0,2.1871683394,5.11492,3.52421,4.97096,1.62315,751.4939999999999,462.985,0.0,0.0,0.4856,0.299172,0.0
RUFTET_clean,0.0,2.070793496,5.41592,3.76809,5.41592,1.3256299999999999,1019.52,769.082,0.0,0.0,0.4806,0.362546,0.0
SABVUN_clean_h_min,0.0,5.4793870284,7.019839999999999,6.7647699999999995,7.019839999999999,0.9789709999999999,1612.66,1647.3,0.0,0.0,0.5868,0.599405,0.0
SAJRAW_clean,0.0,1.6585223107,6.95776,5.629659999999999,6.95776,1.0485,2631.43,2509.71,0.0,0.0,0.7242,0.690701,0.0
SODQOT_clean,0.0,3.4408975478,6.38354,5.71555,6.35379,1.16333,2168.31,1863.88,0.0,0.0,0.653,0.561321,0.0
TOBKEC_clean,0.0,3.0379212776,10.117180000000001,8.98959,10.11479,1.13998,1639.27,1437.98,0.0,0.0,0.6544,0.574044,0.0
TONLOZ_clean,0.0,3.7659219266,5.96623,4.0883,5.95565,1.2355200000000002,1555.44,1258.93,0.0,0.0,0.5706,0.46182799999999996,0.0
ULIMIN_clean,0.0,2.7650016763,5.00183,3.7748,4.853219999999999,1.2693,515.601,406.208,162.351,127.906,0.47600000000000003,0.37500900000000004,0.0
VAHTOQ_clean,0.0,2.8323384507,6.66297,4.23051,6.65497,1.06844,1185.87,1109.9,0.0,0.0,0.5198,0.48650200000000005,0.0
