epoch,loss,r2,mae,mse
0,4118.5718994140625,-844.0497436523438,28.69731595570615,1319.0838063361593
1,2208.291748046875,-718.0162353515625,25.030835177300567,1122.3512267773083
2,1389.9724426269531,-712.8207397460938,24.570716183715273,1114.2413963047493
3,1476.8760986328125,-1038.4229736328125,26.4391628894167,1622.4911636231832
4,1350.6798095703125,-850.5050048828125,28.87709466886248,1329.1600083689493
5,1929.644287109375,-621.1566772460938,25.797489558600578,971.1580022131815
6,1375.0811157226562,-559.5770874023438,20.546465958497365,875.0350517832256
7,1040.6170959472656,-897.60107421875,27.124891771455186,1402.6749500142846
8,1588.525634765625,-896.4132690429688,27.769856238808718,1400.8207051333452
9,1416.55908203125,-485.2079772949219,20.78003739293527,758.9483233309843
10,823.5098876953125,-335.83489990234375,15.98962705182185,525.7837502278744
11,552.0325317382812,-345.5644226074219,18.75556758684616,540.9711167076279
12,692.668212890625,-681.7257690429688,20.972171057022006,1065.7034305651248
13,638.5549926757812,-401.53558349609375,19.998375104514405,628.3394830031933
14,614.5223388671875,-337.7942810058594,18.267915813656128,528.8422722466062
15,515.9749145507812,-391.93927001953125,19.06029174695114,613.3600876917089
16,516.8673248291016,-443.0315856933594,19.58923946918394,693.112860859586
17,661.9339752197266,-253.987060546875,14.628468887098606,398.0230478587538
18,640.1707153320312,-335.2823486328125,16.311814934540248,524.9212612308481
19,549.7734680175781,-351.0821533203125,16.991168621324984,549.5840557462195
20,560.7575378417969,-385.7805480957031,18.464240175260304,603.7465846222685
21,509.0146484375,-242.39703369140625,14.82572258683165,379.93157693208093
22,636.6545104980469,-252.29595947265625,15.468473772040316,395.38336557448486
23,416.14076232910156,-448.0190734863281,20.03556103350361,700.898019286521
24,515.4949188232422,-509.05712890625,18.280273754089386,796.1757041981499
25,476.88050842285156,-669.9762573242188,19.76669525437123,1047.3629843856081
26,270.36458587646484,-266.2063903808594,14.00632123653059,417.09684402174685
27,333.87083435058594,-184.72933959960938,11.520167923462813,289.91496334681534
28,355.4810485839844,-313.3736877441406,16.45051414920602,490.72282214767864
29,411.4169006347656,-409.1845397949219,18.279016535885585,640.2792123676892
30,487.5052795410156,-231.7123260498047,13.479709114885184,363.2532238975449
31,386.8822937011719,-199.9922332763672,13.637015867229557,313.73962069355224
32,231.9536895751953,-264.22540283203125,14.462003478786217,414.004667002245
33,309.8291931152344,-220.657958984375,13.85366091067359,345.9978430215329
34,265.5968780517578,-283.79986572265625,15.014728090962484,444.5594755025206
35,328.2589416503906,-168.43084716796875,12.225781428754544,264.47372726854684
36,249.58597564697266,-142.71246337890625,11.301778550234637,224.32856952178741
37,321.25059509277344,-174.01414489746094,12.558216715152625,273.18899456417483
38,325.7724914550781,-180.0177459716797,11.614072994496338,282.56036766769944
39,295.26361083984375,-160.76315307617188,11.7920644382607,252.50482293229751
40,333.8991241455078,-233.28453063964844,13.492855055873349,365.7073601513906
41,247.78797912597656,-106.82615661621094,9.59394117904508,168.31166824035805
42,165.92127227783203,-125.37902069091797,10.24410447318262,197.27184748753558
43,236.18617248535156,-144.92886352539062,11.165980747168266,227.78825762282727
44,220.24847412109375,-138.3153839111328,11.116777479135871,217.46488456521587
45,223.99408721923828,-186.4921112060547,12.889152007239778,292.66654424192916
46,207.93956756591797,-151.2296600341797,11.506868248540256,237.62350685508915
47,201.70867156982422,-127.72665405273438,10.414426197293805,200.93639468801652
48,139.11136627197266,-157.5304718017578,11.118867916513798,247.4587882369462
49,251.0259552001953,-116.37577819824219,10.236388376442935,183.21817609780197
50,260.68994140625,-77.82817840576172,7.818055241575471,123.04715678715559
51,243.30294036865234,-128.74818420410156,10.479311608039747,202.5309521925163
52,189.00464630126953,-160.4398956298828,11.131092827787679,252.00025575837648
53,215.87784576416016,-149.04010009765625,10.794618776606333,234.20571121009453
54,206.13441467285156,-96.78257751464844,8.340653098193595,152.63409416776273
55,214.2830810546875,-93.78170013427734,8.880998334362362,147.94987969262417
56,203.6693878173828,-113.49036407470703,10.42710790015146,178.7141733824888
57,164.68770599365234,-123.8495101928711,10.823007765269516,194.88432661409183
58,197.64901733398438,-127.41020202636719,9.925306729709153,200.44242713564304
59,109.39064407348633,-115.62117004394531,9.210306801818978,182.04026065409641
60,199.0438690185547,-102.19251251220703,9.447970250317182,161.0787674678329
61,249.34627532958984,-97.62716674804688,9.21485058498979,153.95246741350408
62,116.01008987426758,-107.02822875976562,9.418551500995425,168.62711343672996
63,144.77818298339844,-81.46651458740234,7.920122354379097,128.72642537114984
64,162.61078643798828,-79.56989288330078,8.42761041326659,125.7658934712757
65,117.96751403808594,-88.28172302246094,8.696891307037687,139.36467706245176
66,126.16859436035156,-103.77259063720703,9.692746423322722,163.54518553589418
67,163.13880157470703,-96.79656982421875,8.268375974730281,152.65594206914773
68,125.36618041992188,-73.53938293457031,8.037186777186022,116.35255374158147
69,217.62473678588867,-105.5424575805664,8.93545011108619,166.30788691481771
70,88.16128158569336,-78.50216674804688,7.711516616985135,124.0992232617035
71,122.93424224853516,-104.51551055908203,8.938103435741581,164.70484641561268
72,104.3087387084961,-66.4524917602539,7.489822109058981,105.2902306623763
73,204.14215850830078,-43.568973541259766,6.026040789497217,69.57011677341968
74,175.65966033935547,-71.9511489868164,8.068278481902619,113.87338301791003
75,82.72366714477539,-46.07286071777344,6.505083283889943,73.47856178878223
76,85.56600952148438,-80.04258728027344,7.674630623054257,126.50372822094678
77,73.41913032531738,-51.64757537841797,6.0476270616542385,82.1804369108458
78,67.50785636901855,-92.68759155273438,8.017801298877442,146.24200615407915
79,79.82314682006836,-79.35198211669922,7.9029978166307115,125.42574609633067
80,101.80486679077148,-56.41623306274414,7.173584042103569,89.62410676315946
81,97.71200942993164,-38.754276275634766,6.044957651953281,62.054596311068465
82,84.48944091796875,-57.6905403137207,6.945625506568463,91.61323159033498
83,84.37067794799805,-55.58782958984375,6.930623106067008,88.33098655061025
84,87.0948429107666,-43.58282470703125,6.013157127129181,69.59174355624188
85,93.03152465820312,-39.23821258544922,5.910560446178827,62.80999537520204
86,114.77876663208008,-46.950836181640625,5.9453779630957335,74.84903602098886
87,123.19556427001953,-53.366092681884766,6.6894929974460595,84.86296924179332
88,84.29486846923828,-41.00216293334961,5.819789099688448,65.56343721615833
89,62.50476837158203,-60.65346145629883,7.019077279247064,96.23821995647356
90,74.16884994506836,-45.8436279296875,5.91954038670947,73.12073341132181
91,65.29384803771973,-88.98482513427734,8.078408734374388,140.4621839307967
92,85.0738639831543,-44.52684020996094,5.614543496424687,71.06530883820221
93,66.78078079223633,-62.28675079345703,6.710611574926206,98.78772174013459
94,83.68031692504883,-59.63359832763672,5.798722936549659,94.64626287744784
95,73.68529510498047,-40.61337661743164,5.638575573330237,64.95656633407091
96,58.54127883911133,-28.681758880615234,5.338395832660123,46.33186032617251
97,38.12814426422119,-39.0181884765625,5.67225815285869,62.46654794252188
98,30.58086609840393,-55.0045051574707,5.999110884352267,87.42045227107178
99,57.5487117767334,-38.77085494995117,5.964452118920222,62.0804844502369
100,71.40220069885254,-49.99995803833008,6.566308863745716,79.60859038201109
101,58.998701095581055,-44.05717086791992,5.759648514480635,70.33218093744398
102,48.933855056762695,-40.39301681518555,5.905877388654259,64.61259636591898
103,67.17814636230469,-39.87861633300781,5.711240181777123,63.80964601037069
104,78.04753303527832,-35.669715881347656,5.680699929405483,57.23974095550913
105,63.88031768798828,-41.802059173583984,6.180414862290121,66.81203997404646
106,109.65056991577148,-37.03178787231445,5.477279701441556,59.365860061089485
107,63.61614418029785,-44.19447326660156,5.71508644920912,70.5464913392718
108,49.24888038635254,-44.54222869873047,6.079484855680784,71.08932378230865
109,64.91961860656738,-40.12608337402344,5.846159716452696,64.19592710500427
110,60.74971008300781,-44.89957046508789,6.41923286106249,71.64710963536616
111,52.30059623718262,-33.150875091552734,5.104670179277633,53.307947247692134
112,58.30702590942383,-25.5062313079834,4.790551046564606,41.37500939469629
113,65.49778366088867,-61.29351806640625,6.066535545546909,97.23730967071671
114,59.16382598876953,-36.04132080078125,5.3874881838890305,57.81979131867398
115,56.92670440673828,-42.45936584472656,5.2695058694270545,67.83807648228388
116,63.018747329711914,-45.4102783203125,5.910824976471956,72.44430101324065
117,73.30131530761719,-35.99020767211914,4.979524859980521,57.74001070703015
118,52.34047317504883,-30.816835403442383,5.215345339985915,49.66461724273446
119,52.45123100280762,-38.437652587890625,5.760959838876932,61.560360819435886
120,67.58570289611816,-39.63131332397461,5.626977388466934,63.42361526067176
121,51.27830410003662,-40.7208251953125,5.147467036523302,65.12428735156831
122,52.157676696777344,-31.59809112548828,4.763624020044323,50.88411932618193
123,42.22804260253906,-40.00633239746094,5.353863815570382,64.00899724364118
124,60.72674560546875,-29.602272033691406,4.930447507558163,47.76873981847673
125,65.40519523620605,-38.93711853027344,5.007789964578996,62.34000141342111
