
---- START at 2025-05-30 03:48:19, Remain=5339/5339 ----
[4/5339] ABEFUL_clean Done. TimeForThis=74.1s, Completed=1/5339, ETA=2025-06-03 17:41:21
[16/5339] ABIXOZ_clean Done. TimeForThis=80.0s, Completed=2/5339, ETA=2025-06-01 15:10:05
[26/5339] ACIBOE_clean Done. TimeForThis=83.7s, Completed=3/5339, ETA=2025-05-31 21:10:56
[6/5339] ABETAE_clean Done. TimeForThis=97.9s, Completed=4/5339, ETA=2025-05-31 16:06:29
[19/5339] ABUWOJ_clean Done. TimeForThis=98.0s, Completed=5/5339, ETA=2025-05-31 08:52:49
[5/5339] ABESUX_clean Done. TimeForThis=101.7s, Completed=6/5339, ETA=2025-05-31 04:56:39
[18/5339] ABULOB_clean Done. TimeForThis=107.8s, Completed=7/5339, ETA=2025-05-31 02:39:34
[15/5339] ABEYIR_clean Done. TimeForThis=108.2s, Completed=8/5339, ETA=2025-05-30 23:52:16
[14/5339] ABEYEN_clean Done. TimeForThis=108.6s, Completed=9/5339, ETA=2025-05-30 21:42:44
[13/5339] ABEYAJ_clean Done. TimeForThis=108.9s, Completed=10/5339, ETA=2025-05-30 19:57:50
[12/5339] ABEXUC_clean Done. TimeForThis=109.1s, Completed=11/5339, ETA=2025-05-30 18:31:19
[32/5339] ACOGAB_clean Done. TimeForThis=109.4s, Completed=12/5339, ETA=2025-05-30 17:20:03
[10/5339] ABEXIQ_clean Done. TimeForThis=110.9s, Completed=13/5339, ETA=2025-05-30 16:27:39
[11/5339] ABEXOW_clean Done. TimeForThis=111.2s, Completed=14/5339, ETA=2025-05-30 15:35:26
[8/5339] ABEXEM_clean Done. TimeForThis=113.0s, Completed=15/5339, ETA=2025-05-30 14:58:39
[22/5339] ACAJOF_clean Done. TimeForThis=122.1s, Completed=16/5339, ETA=2025-05-30 15:07:30
[23/5339] ACAKUM_clean Done. TimeForThis=128.3s, Completed=17/5339, ETA=2025-05-30 15:00:04
[30/5339] ACODON_clean Done. TimeForThis=136.2s, Completed=18/5339, ETA=2025-05-30 15:01:50
[25/5339] ACIBIY_clean Done. TimeForThis=146.0s, Completed=19/5339, ETA=2025-05-30 15:12:19
[31/5339] ACODUT_clean Done. TimeForThis=155.9s, Completed=20/5339, ETA=2025-05-30 15:22:20
[20/5339] ACAJIY_clean Done. TimeForThis=161.8s, Completed=21/5339, ETA=2025-05-30 15:14:10
[24/5339] ACECIV_ion_b Done. TimeForThis=163.8s, Completed=22/5339, ETA=2025-05-30 14:51:08
[9/5339] ABEXEN_clean Done. TimeForThis=179.6s, Completed=23/5339, ETA=2025-05-30 15:23:02
[17/5339] ABIYIV_clean Done. TimeForThis=186.5s, Completed=24/5339, ETA=2025-05-30 15:19:47
[33/5339] ACOGEF_clean Done. TimeForThis=113.7s, Completed=25/5339, ETA=2025-05-30 14:56:37
[42/5339] ADABUE_clean Done. TimeForThis=84.5s, Completed=26/5339, ETA=2025-05-30 14:50:27
[41/5339] ADABIS_clean Done. TimeForThis=116.0s, Completed=27/5339, ETA=2025-05-30 16:08:39
[35/5339] ACOLIP_clean Done. TimeForThis=151.6s, Completed=28/5339, ETA=2025-05-30 16:16:00
[47/5339] ADASOP_clean Done. TimeForThis=124.6s, Completed=29/5339, ETA=2025-05-30 15:57:28
[48/5339] ADASUV_clean Done. TimeForThis=128.2s, Completed=30/5339, ETA=2025-05-30 16:10:54
[37/5339] ACUBAB_clean Done. TimeForThis=152.5s, Completed=31/5339, ETA=2025-05-30 15:47:30
[45/5339] ADASEF_clean Done. TimeForThis=148.1s, Completed=32/5339, ETA=2025-05-30 15:48:39
[34/5339] ACOLEL_clean Done. TimeForThis=194.1s, Completed=33/5339, ETA=2025-05-30 16:07:41
[57/5339] ADAXEK_clean Done. TimeForThis=98.4s, Completed=34/5339, ETA=2025-05-30 16:17:20
[40/5339] ACUTOI_clean Done. TimeForThis=182.1s, Completed=35/5339, ETA=2025-05-30 16:06:35
[1/5339] 1499489-acs.cgd.6b01265_1499490_clean Done. TimeForThis=290.5s, Completed=36/5339, ETA=2025-05-30 15:46:23
[49/5339] ADATAC_clean Done. TimeForThis=177.3s, Completed=37/5339, ETA=2025-05-30 16:03:17
[59/5339] ADEGIA01_clean Done. TimeForThis=83.9s, Completed=38/5339, ETA=2025-05-30 15:50:42
[38/5339] ACUFEK_clean Done. TimeForThis=212.6s, Completed=39/5339, ETA=2025-05-30 15:45:23
[60/5339] ADEGIA_clean Done. TimeForThis=90.2s, Completed=40/5339, ETA=2025-05-30 15:52:22
[36/5339] ACOLOV_clean Done. TimeForThis=232.0s, Completed=41/5339, ETA=2025-05-30 15:44:26
[21/5339] ACAJIZ_clean Done. TimeForThis=335.6s, Completed=42/5339, ETA=2025-05-30 15:39:25
[51/5339] ADATIK_clean Done. TimeForThis=194.1s, Completed=43/5339, ETA=2025-05-30 15:32:09
