
---- START at 2025-05-30 02:56:34, Remain=5339/5339 ----
[4/5339] ABEFUL_clean Done. TimeForThis=76.1s, Completed=1/5339, ETA=2025-06-03 19:44:44
[16/5339] ABIXOZ_clean Done. TimeForThis=82.2s, Completed=2/5339, ETA=2025-06-01 15:56:40
[26/5339] ACIBOE_clean Done. TimeForThis=86.2s, Completed=3/5339, ETA=2025-05-31 21:34:11
[19/5339] ABUWOJ_clean Done. TimeForThis=100.9s, Completed=4/5339, ETA=2025-05-31 16:21:49
[6/5339] ABETAE_clean Done. TimeForThis=102.2s, Completed=5/5339, ETA=2025-05-31 09:15:27
[5/5339] ABESUX_clean Done. TimeForThis=102.6s, Completed=6/5339, ETA=2025-05-31 04:17:57
[18/5339] ABULOB_clean Done. TimeForThis=113.1s, Completed=7/5339, ETA=2025-05-31 02:55:08
[32/5339] ACOGAB_clean Done. TimeForThis=114.0s, Completed=8/5339, ETA=2025-05-31 00:04:33
[15/5339] ABEYIR_clean Done. TimeForThis=114.2s, Completed=9/5339, ETA=2025-05-30 21:45:59
[14/5339] ABEYEN_clean Done. TimeForThis=114.7s, Completed=10/5339, ETA=2025-05-30 19:57:19
[12/5339] ABEXUC_clean Done. TimeForThis=115.8s, Completed=11/5339, ETA=2025-05-30 18:33:12
[8/5339] ABEXEM_clean Done. TimeForThis=115.9s, Completed=12/5339, ETA=2025-05-30 17:16:03
[13/5339] ABEYAJ_clean Done. TimeForThis=116.6s, Completed=13/5339, ETA=2025-05-30 16:14:48
[11/5339] ABEXOW_clean Done. TimeForThis=116.9s, Completed=14/5339, ETA=2025-05-30 15:19:34
[10/5339] ABEXIQ_clean Done. TimeForThis=117.1s, Completed=15/5339, ETA=2025-05-30 14:31:06
[22/5339] ACAJOF_clean Done. TimeForThis=125.1s, Completed=16/5339, ETA=2025-05-30 14:32:13
[23/5339] ACAKUM_clean Done. TimeForThis=131.8s, Completed=17/5339, ETA=2025-05-30 14:26:34
[30/5339] ACODON_clean Done. TimeForThis=142.1s, Completed=18/5339, ETA=2025-05-30 14:39:28
[25/5339] ACIBIY_clean Done. TimeForThis=151.2s, Completed=19/5339, ETA=2025-05-30 14:44:46
[31/5339] ACODUT_clean Done. TimeForThis=160.5s, Completed=20/5339, ETA=2025-05-30 14:50:44
[24/5339] ACECIV_ion_b Done. TimeForThis=165.1s, Completed=21/5339, ETA=2025-05-30 14:36:30
[20/5339] ACAJIY_clean Done. TimeForThis=168.4s, Completed=22/5339, ETA=2025-05-30 14:17:57
[9/5339] ABEXEN_clean Done. TimeForThis=192.1s, Completed=23/5339, ETA=2025-05-30 15:19:56
[17/5339] ABIYIV_clean Done. TimeForThis=193.7s, Completed=24/5339, ETA=2025-05-30 14:55:01
[33/5339] ACOGEF_clean Done. TimeForThis=118.6s, Completed=25/5339, ETA=2025-05-30 14:29:35
[42/5339] ADABUE_clean Done. TimeForThis=87.5s, Completed=26/5339, ETA=2025-05-30 14:28:29
[41/5339] ADABIS_clean Done. TimeForThis=120.5s, Completed=27/5339, ETA=2025-05-30 15:50:20
[47/5339] ADASOP_clean Done. TimeForThis=126.0s, Completed=28/5339, ETA=2025-05-30 15:48:55
[35/5339] ACOLIP_clean Done. TimeForThis=157.9s, Completed=29/5339, ETA=2025-05-30 15:25:44
[48/5339] ADASUV_clean Done. TimeForThis=130.5s, Completed=30/5339, ETA=2025-05-30 15:34:46
[37/5339] ACUBAB_clean Done. TimeForThis=159.2s, Completed=31/5339, ETA=2025-05-30 15:26:54
[45/5339] ADASEF_clean Done. TimeForThis=157.7s, Completed=32/5339, ETA=2025-05-30 15:39:23
[34/5339] ACOLEL_clean Done. TimeForThis=194.1s, Completed=33/5339, ETA=2025-05-30 15:21:45
[57/5339] ADAXEK_clean Done. TimeForThis=101.8s, Completed=34/5339, ETA=2025-05-30 15:52:33
[49/5339] ADATAC_clean Done. TimeForThis=171.6s, Completed=35/5339, ETA=2025-05-30 15:47:56
