filename,node
1499489-acs.cgd.6b01265_1499490_clean,psid08
ACECIV_ion_b,psid08
ACOCOM_clean,psid08
ACOCUS_clean,psid08
ACODAZ_clean,psid08
ACODUT_clean,psid08
acs.cgd.5b01554_VAGNUP1452791_clean,psid08
acs.chemmater.5b03723_cm5b03723_si_004_clean,psid08
acs.chemmater.5b03723_cm5b03723_si_005_clean,psid08
acscombsci.5b00188_34903_clean,psid08
acscombsci.5b00188_5013797_clean,psid08
acs.inorgchem.5b02316_ic5b02316_si_002_clean,psid08
acs.inorgchem.5b02378_ic5b02378_si_002_clean,psid08
acs.inorgchem.6b00136_ic6b00136_si_002_clean,psid08
acs.inorgchem.6b00276_ic6b00276_si_006_clean,psid08
acs.inorgchem.6b01211_ic6b01211_si_002_clean,psid08
acs.inorgchem.6b01416_ic6b01416_si_004_clean,psid08
acs.inorgchem.6b01762_ic6b01762_si_002_clean,psid08
acs.jpcc.6b04690_jp6b04690_si_005_clean,psid08
ADOBIF_clean,psid08
AFEKAX_clean,psid08
AGUBUA_clean,psid08
AHIYOH_clean,psid08
AHIYUN_clean,psid08
AHOZAA_clean,psid08
AHUFIU_clean,psid08
AKIXEZ_clean,psid08
AKOXIJ_clean,psid08
am301365h_si_002_clean,psid08
AMIZIG_clean,psid08
ANOMOG_clean,psid08
APEBII_clean,psid08
APEBOO_clean,psid08
AQEFOS_clean,psid08
AQEGUY_clean,psid08
AQERUL_clean,psid08
AQIXUU_clean,psid08
AQOLOJ_clean,psid08
AQOTIK_clean,psid08
ASANAL_clean,psid08
ASEKAM_clean,psid08
ASEXED_clean,psid08
ASIVEF_clean,psid08
ATEJOA_clean,psid08
ATEZEG_clean,psid08
ATEZIK_clean,psid08
ATUZEW_clean,psid08
AVEMOE_clean,psid08
AVETAY_clean,psid08
AVETOM_clean,psid08
AVUBUP_clean,psid08
AVUHIJ_clean,psid08
AWEJES_clean,psid08
AWEWOP_clean,psid08
AWOKED_clean,psid08
AWUPOZ_clean,psid08
AXIGAR_clean,psid08
AXINAX_clean,psid08
AXUJOT_clean,psid08
AZOHEC_clean,psid08
BABREE_clean,psid08
BADJIC_clean,psid08
BADXAI_clean,psid08
BAKYIY_clean,psid08
BALPEL_clean,psid08
BAPVEW_clean,psid08
BAYCOU_clean,psid08
BEFNOR_clean,psid08
BEGDEY_clean,psid08
BERQIA_clean,psid08
BETDOV_clean,psid08
BETFIR_clean,psid08
BETFOX_clean,psid08
BEWCUD_clean,psid08
BEWVEG_clean,psid08
BEXTUV_clean,psid08
BEXVAD01_clean,psid08
BEXVAD_clean,psid08
BEXVIL_clean,psid08
BIBMAC_clean,psid08
BIBMEG_clean,psid08
BIBYAO_clean,psid08
BICDAU_clean,psid08
BIHBEB_clean,psid08
BIHRER_clean,psid08
BIJFAD_clean,psid08
BIJJOV_clean,psid08
BINMIW_clean,psid08
BIPBAF_clean,psid08
BIRGIU_clean,psid08
BIWSOQ_clean,psid08
BOHWOM_clean,psid08
BOHXIH_clean,psid08
BOJDAG_clean,psid08
BORBEQ_clean,psid08
BOSHIC_clean,psid08
BOWSOW_clean,psid08
BUBDIL_clean,psid08
BUCSAU_clean,psid08
BUCSIC01_clean,psid08
BUCTUQ_clean,psid08
BUFPIC_clean,psid08
BUKMUQ_clean,psid08
BUPDOH_clean,psid08
BUVKUA_clean,psid08
BUVVIZ_clean,psid08
BUVVOF_clean,psid08
BUXTUL_clean,psid08
c4dt02048k_c4dt02048k2_clean,psid08
c4ra13058h_c4ra13058h2_clean,psid08
c5cc01886b_c5cc01886b2_clean,psid08
c5cc09935h_c5cc09935h2_clean,psid08
c5ce00923e_c5ce00923e2_clean,psid08
c5ce00931f_c5ce00931f2_clean,psid08
c5ce01790d_c5ce01790d1_clean,psid08
c5ce02503f_c5ce02503f2_clean,psid08
c5dt01100k_c5dt01100k2_clean,psid08
c5dt02651b_c5dt02651b2_clean,psid08
c5dt03038b_c5dt03038b2_clean,psid08
c5dt03710g_c5dt03710g2_clean,psid08
c5dt04943a_c5dt04943a2_clean,psid08
c5dt05023e_c5dt05023e2_clean,psid08
c5nj02236c_c5nj02236c2_clean,psid08
c5nj03044g_c5nj03044g2_clean,psid08
c5qi00128e_c5qi00128e2_clean,psid08
c5sc00614g_c5sc00614g2_clean,psid08
c5ta03835a_c5ta03835a2_clean,psid08
c5ta05481h_c5ta05481h2_clean,psid08
c5ta09507g_c5ta09507g2_clean,psid08
c5ta10401g_c5ta10401g2_clean,psid08
c6cc00589f_c6cc00589f2_clean,psid08
c6cc00589f_c6cc00589f3_clean,psid08
c6cc01597b_c6cc01597b2_clean,psid08
c6cc03787a_c6cc03787a2_clean,psid08
c6ce00465b_c6ce00465b2_clean,psid08
c6dt01288d_c6dt01288d2_clean,psid08
c6ta07145g_c6ta07145g2_clean,psid08
CACNOM_clean,psid08
CAHQAG_clean,psid08
CASWIE_clean,psid08
CAVMIX_clean,psid08
CAWBUY_clean,psid08
CAXSUR_SL,psid08
CAYQIE_clean,psid08
CAYQOK_clean,psid08
CAYQUQ_clean,psid08
CEDFOI_clean,psid08
CEDFUO_clean,psid08
CEKNIQ_clean,psid08
CEMKOV_clean,psid08
CESFIQ_clean,psid08
CESFOW_clean,psid08
CEYWOU_clean,psid08
CEYYIQ_clean,psid08
cg050585esi20051105_115011_clean,psid08
cg100357q_si_002_clean,psid08
cg2007167_si_002_clean,psid08
cg3002866_si_001_clean,psid08
cg300979c_si_002_clean,psid08
cg3015354_si_002_clean,psid08
cg4012185_si_002_clean,psid08
cg500192d_si_002_clean,psid08
cg5008236_si_002_clean,psid08
cg501141m_si_003_clean,psid08
cg801267m_si_001_clean,psid08
cg801267m_si_002_clean,psid08
cg801267m_si_003_clean,psid08
cg801267m_si_004_clean,psid08
CIFGUV_clean,psid08
CILFIN_clean,psid08
CIMFOV_clean,psid08
CIPLIX_clean,psid08
CIQQIE_clean,psid08
CIXCOC_clean,psid08
cm071462f-file004_clean,psid08
cm501138g_si_003_clean,psid08
cm501138g_si_004_clean,psid08
CODVAU_clean,psid08
COJMIZ_clean,psid08
COJMOF02_clean,psid08
COMNAU_clean,psid08
comp2_clean,psid08
COMZIP_clean,psid08
COQJID_clean,psid08
COQJOJ_clean,psid08
COQJUP_clean,psid08
COWDEZ_clean,psid08
COXDIE_clean,psid08
COYMIN_clean,psid08
CUFQUR_clean,psid08
CUGLIB_clean,psid08
CUGYIO_clean,psid08
CUGZAH_clean,psid08
CUHLUO_clean,psid08
CUNXIS_clean,psid08
CUPHIG_clean,psid08
CUQRUD_clean,psid08
CURZAR_clean,psid08
CUSXIY_clean,psid08
CUSXOE_clean,psid08
CUTCAX_clean,psid08
CUTFII_clean,psid08
CUVTIX_clean,psid08
CUVVOG_clean,psid08
CUWHUZ_clean,psid08
CUWXAV_clean,psid08
CUXFUX_clean,psid08
DACSAE_clean,psid08
DACSEI_clean,psid08
DADXUE_clean,psid08
DAFXUG_clean,psid08
DALVEU_clean,psid08
DAMRAN_clean,psid08
DANZOJ_neutral,psid08
DAPZAW_clean,psid08
DAXJET02_clean,psid08
DAXJET03_clean,psid08
DAXJET_clean,psid08
DAYCAI_clean,psid08
DAZCAK_clean,psid08
DEKPUF_clean,psid08
DEMLAJ_clean,psid08
DEYDOA_clean,psid08
DEYLOJ_clean,psid08
DIHYUP_clean,psid08
DIMQIB_clean,psid08
DITPED_clean,psid08
DIWMUT_clean,psid08
DIXNUV_clean,psid08
DIZVAK_clean,psid08
DOFREW_clean,psid08
DOFTID_clean,psid08
DOFTOJ_clean,psid08
DOGBAE_clean,psid08
DOJXOR_clean,psid08
DOLWEI_clean,psid08
DOMGAP_clean,psid08
DONXOV_clean,psid08
DOTFOJ_clean,psid08
DOWGIH_clean,psid08
DUDKIY_clean,psid08
DUKDIX_clean,psid08
DUKDOD_clean,psid08
DUKNEE_clean,psid08
DUNYOC_clean,psid08
DUQRUD_clean,psid08
DUSHEG_clean,psid08
DUSHIK_clean,psid08
DUXZIG01_clean,psid08
DUZKAM_clean,psid08
DUZKEQ_clean,psid08
EBEWUG_clean,psid08
EBEXAN_clean,psid08
EBEXIU02_clean,psid08
EBEXIV_clean,psid08
EBISAM_clean,psid08
EBOXEA_clean,psid08
ECEZAO_clean,psid08
ECNPYR01_clean,psid08
EDUSOL_clean,psid08
EDUTUS_clean,psid08
EDUVAA_clean,psid08
EDUVEE_clean,psid08
EDUVII_clean,psid08
EDUVUU_clean,psid08
EDUWAB_clean,psid08
EFEGEC_clean,psid08
EFESIT_clean,psid08
EGABAR_clean,psid08
EGEJOQ_clean,psid08
EGEJUW_clean,psid08
EHIHEI_clean,psid08
EHUSUX_clean,psid08
EHUTAE_clean,psid08
EJATIS_clean,psid08
EJEGUW_clean,psid08
EJEHAD_clean,psid08
EJESUJ_clean,psid08
EKADIF_clean,psid08
EKEKIQ_clean,psid08
EKEKOW_clean,psid08
EKEMEO_clean,psid08
ELECIJ_clean,psid08
ELEROE_clean,psid08
ELOZIQ_clean,psid08
EMEHUB_clean,psid08
EMIREX_clean,psid08
EMUYAM01_clean,psid08
ENCDBZ01_clean,psid08
ENCDBZ_clean,psid08
ENCNBZ01_clean,psid08
ENEQUL_clean,psid08
EPECOT_clean,psid08
EPECUZ_clean,psid08
EPUSUE_clean,psid08
EQOCOC01_clean,psid08
ERALEQ_clean,psid08
ERALIU_clean,psid08
ERAMOB_clean,psid08
ERAMUH_clean,psid08
ERANAO_clean,psid08
ERANES_clean,psid08
ERANOC_clean,psid08
ERAQAR_clean,psid08
ERUNUC_clean,psid08
ESARIB_clean,psid08
ESEBOV_clean,psid08
ESEVIJ_clean,psid08
