filename,node
j.jssc.2014.11.015_mmc2_clean,psid10
j.jssc.2015.05.012_mmc6_clean,psid10
j.jssc.2016.09.008_mmc7_clean,psid10
j.jssc.2016.09.008_mmc8_clean,psid10
JOCLOD_clean,psid10
JOCWIJ_clean,psid10
JODFOZ_clean,psid10
JODGEP_clean,psid10
JOFGOC_clean,psid10
JOFKIA01_clean,psid10
JOFKIA_clean,psid10
JOGHEU_clean,psid10
JOGHIY_clean,psid10
JOGSAA_clean,psid10
JOHFIW_manual,psid10
JOJKUQ_clean,psid10
JOJLOK_clean,psid10
JOKWOV_clean,psid10
JOKXAI10_clean,psid10
JOKXAI_clean,psid10
JOKXEM10_clean,psid10
JOKXEM_clean,psid10
JOKXOW10_clean,psid10
JOKXOW_clean,psid10
JOKXUC10_clean,psid10
JOKXUC_clean,psid10
JOKYAJ10_clean,psid10
JOKYAJ_clean,psid10
JOKYEN_clean,psid10
JOKYIR10_clean,psid10
JOKYIR_clean,psid10
JOKYOX10_clean,psid10
JOKYOX_clean,psid10
JOLYEQ_clean,psid10
JONKEE_clean,psid10
JOPWUI_clean,psid10
JOQSOZ_clean,psid10
JOQZUM_clean,psid10
JORBAV_clean,psid10
JORLEJ_clean,psid10
JORRAL_clean,psid10
JORSEQ_clean,psid10
JORVET_clean,psid10
JOSNAG01_clean,psid10
JOSNAG_clean,psid10
JOTHOP_clean,psid10
JOVDON_clean,psid10
JOVROD_clean,psid10
JOVWOI_clean,psid10
JOVXEZ_clean,psid10
JOVYAW_clean,psid10
JOWFOQ_clean,psid10
JOXPIX_clean,psid10
JOYKUF_clean,psid10
jp102463p_si_002_clean,psid10
jp102463p_si_004_clean,psid10
jp2064408_si_002_clean,psid10
jp209895d_si_002_clean,psid10
JUBXIP_clean,psid10
JUCGUL_clean,psid10
JUCXEK_clean,psid10
JUFREJ_clean,psid10
JUFZER_clean,psid10
JUGLAA_clean,psid10
JUGQIN_clean,psid10
JUGQOT_clean,psid10
JUJMOS_clean,psid10
JUJTAL_clean,psid10
JUJZEV_clean,psid10
JUJZIZ_clean,psid10
JUKKIL_clean,psid10
JUKNUA_clean,psid10
