filename,node
j.jssc.2014.11.015_mmc2_clean,psid07
j.jssc.2015.05.012_mmc6_clean,psid07
j.jssc.2016.09.008_mmc7_clean,psid07
j.jssc.2016.09.008_mmc8_clean,psid07
JOCLOD_clean,psid07
JOCWIJ_clean,psid07
JODFOZ_clean,psid07
JODGEP_clean,psid07
JOFGOC_clean,psid07
JOFKIA01_clean,psid07
JOFKIA_clean,psid07
JOGHEU_clean,psid07
JOGHIY_clean,psid07
JOGSAA_clean,psid07
JOHFIW_manual,psid07
JOJKUQ_clean,psid07
JOJLOK_clean,psid07
JOKWOV_clean,psid07
JOKXAI10_clean,psid07
JOKXAI_clean,psid07
JOKXEM10_clean,psid07
JOKXEM_clean,psid07
JOKXOW10_clean,psid07
JOKXOW_clean,psid07
JOKXUC10_clean,psid07
JOKXUC_clean,psid07
JOKYAJ10_clean,psid07
JOKYAJ_clean,psid07
JOKYEN_clean,psid07
JOKYIR10_clean,psid07
JOKYIR_clean,psid07
JOKYOX10_clean,psid07
JOKYOX_clean,psid07
JOLYEQ_clean,psid07
JONKEE_clean,psid07
JOPWUI_clean,psid07
JOQSOZ_clean,psid07
JOQZUM_clean,psid07
JORBAV_clean,psid07
JORLEJ_clean,psid07
JORRAL_clean,psid07
JORSEQ_clean,psid07
JORVET_clean,psid07
JOSNAG01_clean,psid07
JOSNAG_clean,psid07
JOTHOP_clean,psid07
JOVDON_clean,psid07
JOVROD_clean,psid07
JOVWOI_clean,psid07
JOVXEZ_clean,psid07
JOVYAW_clean,psid07
JOWFOQ_clean,psid07
JOXPIX_clean,psid07
JOYKUF_clean,psid07
jp102463p_si_002_clean,psid07
jp102463p_si_004_clean,psid07
jp2064408_si_002_clean,psid07
jp209895d_si_002_clean,psid07
JUBXIP_clean,psid07
JUCGUL_clean,psid07
JUCXEK_clean,psid07
JUFREJ_clean,psid07
JUFZER_clean,psid07
JUGLAA_clean,psid07
JUGQIN_clean,psid07
JUGQOT_clean,psid07
JUJMOS_clean,psid07
JUJTAL_clean,psid07
JUJZEV_clean,psid07
JUJZIZ_clean,psid07
JUKKIL_clean,psid07
JUKNUA_clean,psid07
JUMCOL_clean,psid07
JUMCUR_clean,psid07
JUMDAY_clean,psid07
JUMDEC_clean,psid07
JUNBOL_clean,psid07
JUNBUR_clean,psid07
JUPBUT_clean,psid07
JUPFOP_charged,psid07
JUPNAL_clean,psid07
JUQTOG_clean,psid07
JUQVAU_clean,psid07
JURKIS_clean,psid07
JUSBAC_clean,psid07
JUSKAL_clean,psid07
JUTCIM_clean,psid07
JUTCUW_SL,psid07
JUVROJ_clean,psid07
JUWBIO_clean,psid07
JUXFAL_clean,psid07
JUXFOZ_clean,psid07
JUXZOT_clean,psid07
JUYJIY_clean,psid07
JUYROM_clean,psid07
jz4002345_si_002_clean,psid07
jz4002345_si_003_clean,psid07
jz4002345_si_004_clean,psid07
jz4002345_si_005_clean,psid07
jz4002345_si_006_clean,psid07
KABNIL_clean,psid07
KABXAO_clean,psid07
KABXES_clean,psid07
KABXIW_clean,psid07
KABXOC_clean,psid07
KACZEV_clean,psid07
KACZIZ_clean,psid07
KADLOT_clean,psid07
KADLUZ_clean,psid07
KAFTUI_clean,psid07
KAFYAT_clean,psid07
KAGCAY_charged,psid07
KAGVUL_clean,psid07
KAGWEW_clean,psid07
KAHMOW_clean,psid07
KAHNOX_clean,psid07
KAHPUE_clean,psid07
KAHYEY_clean,psid07
KAHYID_clean,psid07
KAHYOJ_clean,psid07
KAHYUP_clean,psid07
KAJZIH_clean,psid07
KAKBUW_clean,psid07
KAKCAD_clean,psid07
KAKCEH01_clean,psid07
KAKCEH02_clean,psid07
KAKCEH_clean,psid07
KALFEK_clean,psid07
KALFOU_clean,psid07
KALGAH_clean,psid07
KALGEL_clean,psid07
KANDAG_clean,psid07
KANDIO_clean,psid07
KANMIX_clean,psid07
KAPHOB_clean,psid07
KAPHUH_clean,psid07
KARLUM_clean,psid07
KARNAU_clean,psid07
KARNID_clean,psid07
KARTAA_clean,psid07
KASHUK_clean,psid07
KASPOL_clean,psid07
KASRAZ_clean,psid07
KASRED_clean,psid07
KATDAM_clean,psid07
KAVGAQ_clean,psid07
KAVJAT_charged,psid07
KAVJEX01_clean,psid07
KAVJEX_clean,psid07
KAVKIC_clean,psid07
KAVNIH_clean,psid07
KAVTEI_clean,psid07
KAVTUY_clean,psid07
KAWBOB_clean,psid07
KAWHEY_clean,psid07
KAXFUM_clean,psid07
KAXQIL_clean,psid07
KAYBIX_clean,psid07
KAYBUJ_clean,psid07
KAYCIY_clean,psid07
KEBDIG_charged,psid07
KEBFII_clean,psid07
KECRAL10_clean,psid07
KECRAL11_clean,psid07
KECRAL12_clean,psid07
KECRAL_clean,psid07
KEDJAG01_clean,psid07
KEDJAG02_clean,psid07
KEDJAG03_clean,psid07
KEDJAG04_clean,psid07
KEDJAG06_clean,psid07
KEDJAG08_clean,psid07
KEDJAG10_clean,psid07
KEDJAG12_clean,psid07
KEDJAG14_clean,psid07
KEDJAG16_clean,psid07
KEDJAG18_clean,psid07
KEDJAG20_clean,psid07
KEDJAG22_clean,psid07
KEDJAG24_clean,psid07
KEDJAG26_clean,psid07
KEDJAG28_clean,psid07
KEDJAG_clean,psid07
KEDNOY_clean,psid07
KEDQAN_clean,psid07
KEFBEE_clean,psid07
KEFBII_clean,psid07
KEFBOO_clean,psid07
KEFFEI01_clean,psid07
KEFFEI_clean,psid07
KEFWAV_clean,psid07
KEFWEZ_charged,psid07
KEFWID_clean,psid07
KEGYAX_clean,psid07
KEGZOL01_clean,psid07
KEGZOL02_clean,psid07
KEGZOL03_clean,psid07
KEGZOL04_clean,psid07
KEGZOL_clean,psid07
KEHDOS_clean,psid07
KEHFUA_clean,psid07
KEHGAH_charged,psid07
KEHGEL_clean,psid07
KEHGIP_clean,psid07
KEHGOV_manual,psid07
KEJBIL_clean,psid07
KEJBOQ_clean_h,psid07
KEJHIQ_clean_h,psid07
KEJXUU_clean,psid07
KENJEU_clean,psid07
KEPPIF_clean,psid07
KEQDER_clean,psid07
KESBIU_charged,psid07
KESBOA_clean,psid07
KESBUG_clean,psid07
KESGAS_clean,psid07
KESHAT_clean,psid07
KETHEY01_clean,psid07
KETHEY02_clean,psid07
KETHEY_clean,psid07
KETSEI_clean,psid07
KEVVIS_clean,psid07
KEVWUF_clean,psid07
KEWBUL_clean,psid07
KEWNUX_clean,psid07
KEWZET_clean,psid07
KEXFAU_clean,psid07
KEXFIC10_clean,psid07
KEXFIC_clean,psid07
KEXKAB_clean,psid07
KEXKEF_clean,psid07
KEYFUR_clean,psid07
KEYMUY_clean,psid07
KEYROX_clean,psid07
KEYYET_clean,psid07
KIBDEF_clean,psid07
KIBDIJ_clean,psid07
KIBXUP_charged,psid07
KIBYAW_charged,psid07
KICXAX_clean,psid07
KICXEB_clean,psid07
KIDDIM_clean,psid07
KIDDOS_clean,psid07
KIDVIE_clean,psid07
KIFJIT_charged,psid07
KIFKAM_clean,psid07
KIFKEQ_clean,psid07
KIFWUT_clean,psid07
KIFXOO_clean,psid07
KIGCEK_clean,psid07
KIJPUQ_clean,psid07
KIJRUS_clean,psid07
KIKDAL_clean,psid07
KIKDIT_clean,psid07
KIKFIV_clean,psid07
KILJEV_clean,psid07
KINDIW_clean,psid07
KINDOC_clean,psid07
KINFAQ_clean,psid07
KINFEU_clean,psid07
KINNIG_clean,psid07
KINNUS_charged,psid07
KINPUU_clean,psid07
KINQAB_clean,psid07
KINRIK_clean,psid07
KINROQ_clean,psid07
KIPJIE_clean,psid07
KIPJOK_clean,psid07
KIPJUQ_clean,psid07
KIPKAX_clean,psid07
KIPKEB_clean,psid07
KIPZEQ_clean,psid07
KIQKOK_clean,psid07
KIRFIA_clean,psid07
KIRTUC_clean,psid07
KISVEO_clean,psid07
KITCAT_clean,psid07
KITVEQ_clean,psid07
KIVDUQ_clean,psid07
KIVFAY_clean,psid07
KIVFEC_clean,psid07
KIVVOC_clean,psid07
KIXKOS_ion_b,psid07
KIYBIF_clean,psid07
KIYJAF_clean,psid07
KIYMAI01_clean,psid07
KIYMAI_clean,psid07
KIYMEM01_clean,psid07
KIYMEM_clean,psid07
KIYMIQ_clean,psid07
KIYQEQ_clean,psid07
KIYQIU_clean,psid07
KIYQOA_clean,psid07
KIYTOD_clean,psid07
KIYXUN_clean,psid07
KOBFIR_clean,psid07
KOBPIB_clean,psid07
KOBRAV01_clean,psid07
KOBRAV_clean,psid07
KOCCUC_clean,psid07
KOCWEF_clean,psid07
KODSUT_clean,psid07
KOFPEB01_clean,psid07
KOFPEB02_clean,psid07
KOFPEB03_clean,psid07
KOFPEB04_clean,psid07
KOFPEB_clean,psid07
KOFVOS_clean,psid07
KOGJOG_clean,psid07
KOGYIP_clean,psid07
KOHDIW_clean,psid07
KOHKIC_clean,psid07
KOHKOI_clean,psid07
KOHLIE_clean,psid07
KOJTOU_clean,psid07
KOJZEP_manual,psid07
KOJZIT_clean,psid07
KOJZUF_clean,psid07
KOKKOL_clean,psid07
KOKSIO_clean,psid07
KOLYUH_clean,psid07
KOMCOG_clean,psid07
KOMDAT_clean,psid07
KOMGID_clean,psid07
KOMGUP_clean,psid07
KOMHAW_clean,psid07
KOMVIT_clean,psid07
KONCIA_clean,psid07
KONFEA_clean,psid07
KONFIE_clean,psid07
KONSAJ_clean,psid07
KONYOB_clean,psid07
KOPXOE_clean,psid07
KOQLUZ_clean,psid07
KORNAI_clean,psid07
KOSJAF_clean,psid07
KOSJEJ_clean,psid07
KOSJIN_clean,psid07
KOSJOT_clean,psid07
KOSJUZ_clean,psid07
KOSKAG_clean,psid07
KOSKEK_clean,psid07
KOSKIO01_clean,psid07
KOSKIO_clean,psid07
KOSKUA_clean,psid07
KOSLAH_clean,psid07
KOSLEL_clean,psid07
KOSLIP_clean,psid07
KOSLOV_clean,psid07
KOSLUB_clean,psid07
KOSMAI_clean,psid07
KOTSIX_clean,psid07
KOVJAI01_clean,psid07
KOVJAI_clean,psid07
KOXFUA_clean,psid07
KOXGAH_clean,psid07
KOXGIP_clean,psid07
KOYRAT_charged,psid07
KOZNIY_clean,psid07
KOZQEX_clean,psid07
KOZSID_clean,psid07
KOZSOJ_clean,psid07
KUBQAA_charged,psid07
KUCDES_clean,psid07
KUCDIW_clean,psid07
KUCDOD_clean,psid07
KUDLUR_clean,psid07
KUDMAY_clean,psid07
KUDWAJ_clean,psid07
KUFBEU_clean,psid07
KUFTAI_clean,psid07
KUFVAK_clean,psid07
KUFVEO_clean,psid07
KUFVIS_clean,psid07
KUGCOF_clean,psid07
KUGZIW_clean,psid07
KUHNEI_clean,psid07
KUJFUS_clean,psid07
KUJMEJ_clean,psid07
KUJMIN_clean,psid07
KUJNEJ_clean,psid07
KUJNOT_clean,psid07
KUJNUZ_clean,psid07
KUJPAH_clean,psid07
KUJTUG_clean,psid07
KUKHAB_clean,psid07
KUKMUA_clean,psid07
KUKPOX_clean,psid07
KUKZOH_clean,psid07
KULLAG_clean,psid07
KULLEK_clean,psid07
KULMEK_clean,psid07
KULMIP_clean,psid07
KULRIT_clean,psid07
KULZEY_clean,psid07
KUMGIK_clean,psid07
KUMGOQ_clean,psid07
KUNLEL_clean,psid07
KUNMUD_clean,psid07
KUNRAO_clean,psid07
KUNSUJ_clean,psid07
KUNWEW_clean,psid07
KUQWIE_clean,psid07
KUQXIE_clean,psid07
KUSZED_clean,psid07
KUTDAG_clean,psid07
KUTHOY_clean,psid07
KUTRUO_clean,psid07
KUVJIW_clean,psid07
KUVMIZ_clean,psid07
KUVMUL_clean,psid07
KUVYAD_clean,psid07
KUXLUL_clean,psid07
